Mon, 03 May 2021 11:03:33 GMT | INFO | |Connected|server.js|server|ServerConnection|3024 | |
Mon, 03 May 2021 11:03:33 GMT | INFO | |Connected|dbConnection.js|DBConnection|DBConnection|DataBase Connected | |
Mon, 03 May 2021 11:03:41 GMT | INFO |undefined |GET|enrollmentProductBackend|getProductInfo|Begins|/v1/products |{"content-type":"application/json","user-agent":"PostmanRuntime/7.26.8","postman-token":"cd34963f-072c-44cc-bf90-c3916e6631fa","host":"localhost:3024","accept-encoding":"gzip, deflate, br","content-length":"80"} |
Mon, 03 May 2021 11:03:41 GMT | DEBUG |undefined |GET|enrollmentProductBackend|getProductInfo|Success|[{"id":1,"product_name":"Mug","description":"Coffee Mug","cost":100,"date_manu":"2021-04-30T18:30:00.000Z"},{"id":2,"product_name":"Mug","description":"coffee mug","cost":44,"date_manu":"2021-05-02T18:30:00.000Z"},{"id":3,"product_name":"Mug","description":"coffee mug","cost":44,"date_manu":"2021-05-02T18:30:00.000Z"},{"id":4,"product_name":"Mug","description":"coffee mug","cost":44,"date_manu":"2021-05-02T18:30:00.000Z"},{"id":5,"product_name":"Mug","description":"coffee mug","cost":44,"date_manu":"2021-05-02T18:30:00.000Z"},{"id":6,"product_name":"Mug","description":"coffee mug","cost":44,"date_manu":"2021-05-02T18:30:00.000Z"},{"id":7,"product_name":"Mug","description":"coffee mug","cost":44,"date_manu":"2021-05-02T18:30:00.000Z"},{"id":8,"product_name":"Mug","description":"coffee mug","cost":44,"date_manu":"2021-05-02T18:30:00.000Z"},{"id":9,"product_name":"Mug","description":"coffee mug","cost":44,"date_manu":"2021-05-02T18:30:00.000Z"},{"id":10,"product_name":"Mug","description":"coffee mug","cost":44,"date_manu":"2021-05-02T18:30:00.000Z"}] | |
Mon, 03 May 2021 11:03:41 GMT | INFO |undefined |GET|enrollmentProductBackend|getProductInfo|Exits| | |
Mon, 03 May 2021 11:03:52 GMT | INFO |7195f23e-6b21-4108-9abe-527ee2b034d9 |GET|enrollmentProductBackend|getProductInfo|Begins|/v1/products |{"x-trace-id":"7195f23e-6b21-4108-9abe-527ee2b034d9","host":"localhost:3024"} |
Mon, 03 May 2021 11:03:52 GMT | DEBUG |7195f23e-6b21-4108-9abe-527ee2b034d9 |GET|enrollmentProductBackend|getProductInfo|Success|[{"id":1,"product_name":"Mug","description":"Coffee Mug","cost":100,"date_manu":"2021-04-30T18:30:00.000Z"},{"id":2,"product_name":"Mug","description":"coffee mug","cost":44,"date_manu":"2021-05-02T18:30:00.000Z"},{"id":3,"product_name":"Mug","description":"coffee mug","cost":44,"date_manu":"2021-05-02T18:30:00.000Z"},{"id":4,"product_name":"Mug","description":"coffee mug","cost":44,"date_manu":"2021-05-02T18:30:00.000Z"},{"id":5,"product_name":"Mug","description":"coffee mug","cost":44,"date_manu":"2021-05-02T18:30:00.000Z"},{"id":6,"product_name":"Mug","description":"coffee mug","cost":44,"date_manu":"2021-05-02T18:30:00.000Z"},{"id":7,"product_name":"Mug","description":"coffee mug","cost":44,"date_manu":"2021-05-02T18:30:00.000Z"},{"id":8,"product_name":"Mug","description":"coffee mug","cost":44,"date_manu":"2021-05-02T18:30:00.000Z"},{"id":9,"product_name":"Mug","description":"coffee mug","cost":44,"date_manu":"2021-05-02T18:30:00.000Z"},{"id":10,"product_name":"Mug","description":"coffee mug","cost":44,"date_manu":"2021-05-02T18:30:00.000Z"}] | |
Mon, 03 May 2021 11:03:52 GMT | INFO |7195f23e-6b21-4108-9abe-527ee2b034d9 |GET|enrollmentProductBackend|getProductInfo|Exits| | |
Mon, 03 May 2021 11:04:54 GMT | INFO |70292b03-f0d8-4a91-be61-fc45eb27cb64 |POST|enrollmentProductBackend|postProductInfo|Begins|{"productName":"Mug","description":"coffee mug","cost":"44"} |{"x-trace-id":"70292b03-f0d8-4a91-be61-fc45eb27cb64","host":"localhost:3024","content-type":"application/json","content-length":"60"} |
Mon, 03 May 2021 11:04:54 GMT | DEBUG |70292b03-f0d8-4a91-be61-fc45eb27cb64 |POST|enrollmentProductBackend|postProductInfo|Success|{"affectedRows":1,"insertId":14,"warningStatus":0} | |
Mon, 03 May 2021 11:04:54 GMT | INFO |70292b03-f0d8-4a91-be61-fc45eb27cb64 |POST|enrollmentProductBackend|postProductInfo|Exits| | |
Mon, 03 May 2021 11:04:56 GMT | INFO |d561e916-ed8b-4f13-bf17-372fe4acca4b |POST|enrollmentProductBackend|postProductInfo|Begins|{"productName":"Mug","description":"coffee mug","cost":"44"} |{"x-trace-id":"d561e916-ed8b-4f13-bf17-372fe4acca4b","host":"localhost:3024","content-type":"application/json","content-length":"60"} |
